,title,gross_worldwide,movie_id,year,plot,clean_plot,token_plot,lemma_plot,stem_plot,lemma_plot2
10,Harry Potter and the Deathly Hallows: Part 2,"$1,386,206,970",1201607,2011,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",harry  ron  and hermione search for voldemort s remaining horcruxes in their effort to destroy the dark lord as the final battle rages on at hogwarts,"['harry', 'ron', 'and', 'hermione', 'search', 'for', 'voldemort', 's', 'remaining', 'horcruxes', 'in', 'their', 'effort', 'to', 'destroy', 'the', 'dark', 'lord', 'as', 'the', 'final', 'battle', 'rages', 'on', 'at', 'hogwarts']","['harry', 'ron', 'hermione', 'search', 'voldemort', 'remaining', 'horcruxes', 'effort', 'destroy', 'dark', 'lord', 'final', 'battle', 'rage', 'hogwarts']","['harri', 'ron', 'hermion', 'search', 'voldemort', 'remain', 'horcrux', 'effort', 'destroy', 'dark', 'lord', 'final', 'battl', 'rage', 'hogwart']","['harry', 'ron', 'hermione', 'search', 'voldemort', 'remain', 'horcruxes', 'effort', 'destroy', 'dark', 'lord', 'final', 'battle', 'rage', 'hogwarts']"
11,Black Panther,"$1,348,744,095",1825683,2018,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.::Kenneth Chisholm",t challa  heir to the hidden but advanced kingdom of wakanda  must step forward to lead his people into a new future and must confront a challenger from his country s past   kenneth chisholm,"['t', 'challa', 'heir', 'to', 'the', 'hidden', 'but', 'advanced', 'kingdom', 'of', 'wakanda', 'must', 'step', 'forward', 'to', 'lead', 'his', 'people', 'into', 'a', 'new', 'future', 'and', 'must', 'confront', 'a', 'challenger', 'from', 'his', 'country', 's', 'past', 'kenneth', 'chisholm']","['challa', 'heir', 'hidden', 'advanced', 'kingdom', 'wakanda', 'must', 'step', 'forward', 'lead', 'people', 'new', 'future', 'must', 'confront', 'challenger', 'country', 'past', 'kenneth', 'chisholm']","['challa', 'heir', 'hidden', 'advanc', 'kingdom', 'wakanda', 'must', 'step', 'forward', 'lead', 'peopl', 'new', 'futur', 'must', 'confront', 'challeng', 'countri', 'past', 'kenneth', 'chisholm']","['challa', 'heir', 'hidden', 'advanced', 'kingdom', 'wakanda', 'must', 'step', 'forward', 'lead', 'people', 'new', 'future', 'must', 'confront', 'challenger', 'country', 'past', 'kenneth', 'chisholm']"
12,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889",2527336,2017,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",rey develops her newly discovered abilities with the guidance of luke skywalker  who is unsettled by the strength of her powers  meanwhile  the resistance prepares for battle with the first order,"['rey', 'develops', 'her', 'newly', 'discovered', 'abilities', 'with', 'the', 'guidance', 'of', 'luke', 'skywalker', 'who', 'is', 'unsettled', 'by', 'the', 'strength', 'of', 'her', 'powers', 'meanwhile', 'the', 'resistance', 'prepares', 'for', 'battle', 'with', 'the', 'first', 'order']","['rey', 'develops', 'newly', 'discovered', 'ability', 'guidance', 'luke', 'skywalker', 'unsettled', 'strength', 'power', 'meanwhile', 'resistance', 'prepares', 'battle', 'first', 'order']","['rey', 'develop', 'newli', 'discov', 'abil', 'guidanc', 'luke', 'skywalk', 'unsettl', 'strength', 'power', 'meanwhil', 'resist', 'prepar', 'battl', 'first', 'order']","['rey', 'develops', 'newly', 'discover', 'ability', 'guidance', 'luke', 'skywalker', 'unsettled', 'strength', 'power', 'meanwhile', 'resistance', 'prepares', 'battle', 'first', 'order']"
13,Jurassic World: Fallen Kingdom,"$1,308,467,944",4881806,2018,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.::ahmetkozan",when the island s dormant volcano begins roaring to life  owen and claire mount a campaign to rescue the remaining dinosaurs from this extinction level event   ahmetkozan,"['when', 'the', 'island', 's', 'dormant', 'volcano', 'begins', 'roaring', 'to', 'life', 'owen', 'and', 'claire', 'mount', 'a', 'campaign', 'to', 'rescue', 'the', 'remaining', 'dinosaurs', 'from', 'this', 'extinction', 'level', 'event', 'ahmetkozan']","['island', 'dormant', 'volcano', 'begin', 'roaring', 'life', 'owen', 'claire', 'mount', 'campaign', 'rescue', 'remaining', 'dinosaur', 'extinction', 'level', 'event', 'ahmetkozan']","['island', 'dormant', 'volcano', 'begin', 'roar', 'life', 'owen', 'clair', 'mount', 'campaign', 'rescu', 'remain', 'dinosaur', 'extinct', 'level', 'event', 'ahmetkozan']","['island', 'dormant', 'volcano', 'begin', 'roar', 'life', 'owen', 'claire', 'mount', 'campaign', 'rescue', 'remain', 'dinosaur', 'extinction', 'level', 'event', 'ahmetkozan']"
14,Frozen,"$1,280,803,353",2294629,2013,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.::Anonymous",when the newly crowned queen elsa accidentally uses her power to turn things into ice to curse her home in infinite winter  her sister anna teams up with a mountain man  his playful reindeer  and a snowman to change the weather condition   anonymous,"['when', 'the', 'newly', 'crowned', 'queen', 'elsa', 'accidentally', 'uses', 'her', 'power', 'to', 'turn', 'things', 'into', 'ice', 'to', 'curse', 'her', 'home', 'in', 'infinite', 'winter', 'her', 'sister', 'anna', 'teams', 'up', 'with', 'a', 'mountain', 'man', 'his', 'playful', 'reindeer', 'and', 'a', 'snowman', 'to', 'change', 'the', 'weather', 'condition', 'anonymous']","['newly', 'crowned', 'queen', 'elsa', 'accidentally', 'us', 'power', 'turn', 'thing', 'ice', 'curse', 'home', 'infinite', 'winter', 'sister', 'anna', 'team', 'mountain', 'man', 'playful', 'reindeer', 'snowman', 'change', 'weather', 'condition', 'anonymous']","['newli', 'crown', 'queen', 'elsa', 'accident', 'us', 'power', 'turn', 'thing', 'ice', 'curs', 'home', 'infinit', 'winter', 'sister', 'anna', 'team', 'mountain', 'man', 'play', 'reindeer', 'snowman', 'chang', 'weather', 'condit', 'anonym']","['newly', 'crown', 'queen', 'elsa', 'accidentally', 'u', 'power', 'turn', 'thing', 'ice', 'curse', 'home', 'infinite', 'winter', 'sister', 'anna', 'team', 'mountain', 'man', 'playful', 'reindeer', 'snowman', 'change', 'weather', 'condition', 'anonymous']"
15,The Incredibles 2,"$1,242,805,359",3606756,2018,"The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.",the incredibles hero family takes on a new mission  which involves a change in family roles  bob parr  mr incredible  must manage the house while his wife helen  elastigirl  goes out to save the world,"['the', 'incredibles', 'hero', 'family', 'takes', 'on', 'a', 'new', 'mission', 'which', 'involves', 'a', 'change', 'in', 'family', 'roles', 'bob', 'parr', 'mr', 'incredible', 'must', 'manage', 'the', 'house', 'while', 'his', 'wife', 'helen', 'elastigirl', 'goes', 'out', 'to', 'save', 'the', 'world']","['incredibles', 'hero', 'family', 'take', 'new', 'mission', 'involves', 'change', 'family', 'role', 'bob', 'parr', 'mr', 'incredible', 'must', 'manage', 'house', 'wife', 'helen', 'elastigirl', 'go', 'save', 'world']","['incred', 'hero', 'famili', 'take', 'new', 'mission', 'involv', 'chang', 'famili', 'role', 'bob', 'parr', 'mr', 'incred', 'must', 'manag', 'hous', 'wife', 'helen', 'elastigirl', 'go', 'save', 'world']","['incredibles', 'hero', 'family', 'take', 'new', 'mission', 'involves', 'change', 'family', 'role', 'bob', 'parr', 'mr', 'incredible', 'must', 'manage', 'house', 'wife', 'helen', 'elastigirl', 'go', 'save', 'world']"
16,The Fate of the Furious,"$1,236,005,118",4630562,2017,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.::ahmetkozan",when a mysterious woman seduces dominic toretto into the world of terrorism and a betrayal of those closest to him  the crew face trials that will test them as never before   ahmetkozan,"['when', 'a', 'mysterious', 'woman', 'seduces', 'dominic', 'toretto', 'into', 'the', 'world', 'of', 'terrorism', 'and', 'a', 'betrayal', 'of', 'those', 'closest', 'to', 'him', 'the', 'crew', 'face', 'trials', 'that', 'will', 'test', 'them', 'as', 'never', 'before', 'ahmetkozan']","['mysterious', 'woman', 'seduces', 'dominic', 'toretto', 'world', 'terrorism', 'betrayal', 'closest', 'crew', 'face', 'trial', 'test', 'never', 'ahmetkozan']","['mysteri', 'woman', 'seduc', 'domin', 'toretto', 'world', 'terror', 'betray', 'closest', 'crew', 'face', 'trial', 'test', 'never', 'befor', 'ahmetkozan']","['mysterious', 'woman', 'seduces', 'dominic', 'toretto', 'world', 'terrorism', 'betrayal', 'closest', 'crew', 'face', 'trial', 'test', 'never', 'ahmetkozan']"
17,Iron Man 3,"$1,214,811,252",1300854,2013,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.::Anonymous",when tony stark s world is torn apart by a formidable terrorist called the mandarin  he starts an odyssey of rebuilding and retribution   anonymous,"['when', 'tony', 'stark', 's', 'world', 'is', 'torn', 'apart', 'by', 'a', 'formidable', 'terrorist', 'called', 'the', 'mandarin', 'he', 'starts', 'an', 'odyssey', 'of', 'rebuilding', 'and', 'retribution', 'anonymous']","['tony', 'stark', 'world', 'torn', 'apart', 'formidable', 'terrorist', 'called', 'mandarin', 'start', 'odyssey', 'rebuilding', 'retribution', 'anonymous']","['toni', 'stark', 'world', 'torn', 'apart', 'formid', 'terrorist', 'call', 'mandarin', 'start', 'odyssey', 'rebuild', 'retribut', 'anonym']","['tony', 'stark', 'world', 'torn', 'apart', 'formidable', 'terrorist', 'call', 'mandarin', 'start', 'odyssey', 'rebuild', 'retribution', 'anonymous']"
18,Minions,"$1,159,428,508",2293640,2015,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.::Miss W J Mcdermott",minions stuart  kevin  and bob are recruited by scarlet overkill  a supervillain who  alongside her inventor husband herb  hatches a plot to take over the world   miss w j mcdermott,"['minions', 'stuart', 'kevin', 'and', 'bob', 'are', 'recruited', 'by', 'scarlet', 'overkill', 'a', 'supervillain', 'who', 'alongside', 'her', 'inventor', 'husband', 'herb', 'hatches', 'a', 'plot', 'to', 'take', 'over', 'the', 'world', 'miss', 'w', 'j', 'mcdermott']","['minion', 'stuart', 'kevin', 'bob', 'recruited', 'scarlet', 'overkill', 'supervillain', 'alongside', 'inventor', 'husband', 'herb', 'hatch', 'plot', 'take', 'world', 'miss', 'w', 'j', 'mcdermott']","['minion', 'stuart', 'kevin', 'bob', 'recruit', 'scarlet', 'overkil', 'supervillain', 'alongsid', 'inventor', 'husband', 'herb', 'hatch', 'plot', 'take', 'world', 'miss', 'w', 'j', 'mcdermott']","['minion', 'stuart', 'kevin', 'bob', 'recruit', 'scarlet', 'overkill', 'supervillain', 'alongside', 'inventor', 'husband', 'herb', 'hatch', 'plot', 'take', 'world', 'miss', 'w', 'j', 'mcdermott']"
19,Captain America: Civil War,"$1,153,312,277",3498820,2016,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,political involvement in the avengers  affairs causes a rift between captain america and iron man,"['political', 'involvement', 'in', 'the', 'avengers', 'affairs', 'causes', 'a', 'rift', 'between', 'captain', 'america', 'and', 'iron', 'man']","['political', 'involvement', 'avenger', 'affair', 'cause', 'rift', 'captain', 'america', 'iron', 'man']","['polit', 'involv', 'aveng', 'affair', 'caus', 'rift', 'captain', 'america', 'iron', 'man']","['political', 'involvement', 'avenger', 'affair', 'cause', 'rift', 'captain', 'america', 'iron', 'man']"
20,Aquaman,"$1,148,485,886",1477834,2018,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",arthur curry  the human born heir to the underwater kingdom of atlantis  goes on a quest to prevent a war between the worlds of ocean and land,"['arthur', 'curry', 'the', 'human', 'born', 'heir', 'to', 'the', 'underwater', 'kingdom', 'of', 'atlantis', 'goes', 'on', 'a', 'quest', 'to', 'prevent', 'a', 'war', 'between', 'the', 'worlds', 'of', 'ocean', 'and', 'land']","['arthur', 'curry', 'human', 'born', 'heir', 'underwater', 'kingdom', 'atlantis', 'go', 'quest', 'prevent', 'war', 'world', 'ocean', 'land']","['arthur', 'curri', 'human', 'born', 'heir', 'underwat', 'kingdom', 'atlanti', 'go', 'quest', 'prevent', 'war', 'world', 'ocean', 'land']","['arthur', 'curry', 'human', 'born', 'heir', 'underwater', 'kingdom', 'atlantis', 'go', 'quest', 'prevent', 'war', 'world', 'ocean', 'land']"
21,The Lord of the Rings: The Return of the King,"$1,142,271,098",167260,2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.::ahmetkozan,gandalf and aragorn lead the world of men against sauron s army to draw his gaze from frodo and sam as they approach mount doom with the one ring   ahmetkozan,"['gandalf', 'and', 'aragorn', 'lead', 'the', 'world', 'of', 'men', 'against', 'sauron', 's', 'army', 'to', 'draw', 'his', 'gaze', 'from', 'frodo', 'and', 'sam', 'as', 'they', 'approach', 'mount', 'doom', 'with', 'the', 'one', 'ring', 'ahmetkozan']","['gandalf', 'aragorn', 'lead', 'world', 'men', 'sauron', 'army', 'draw', 'gaze', 'frodo', 'sam', 'approach', 'mount', 'doom', 'one', 'ring', 'ahmetkozan']","['gandalf', 'aragorn', 'lead', 'world', 'men', 'sauron', 'armi', 'draw', 'gaze', 'frodo', 'sam', 'approach', 'mount', 'doom', 'one', 'ring', 'ahmetkozan']","['gandalf', 'aragorn', 'lead', 'world', 'men', 'sauron', 'army', 'draw', 'gaze', 'frodo', 'sam', 'approach', 'mount', 'doom', 'one', 'ring', 'ahmetkozan']"
22,Spider-Man: Far from Home,"$1,131,927,996",6320628,2019,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.::Sony Pictures",following the events of avengers  endgame     spider man must step up to take on new threats in a world that has changed forever   sony pictures,"['following', 'the', 'events', 'of', 'avengers', 'endgame', 'spider', 'man', 'must', 'step', 'up', 'to', 'take', 'on', 'new', 'threats', 'in', 'a', 'world', 'that', 'has', 'changed', 'forever', 'sony', 'pictures']","['following', 'event', 'avenger', 'endgame', 'spider', 'man', 'must', 'step', 'take', 'new', 'threat', 'world', 'ha', 'changed', 'forever', 'sony', 'picture']","['follow', 'event', 'aveng', 'endgam', 'spider', 'man', 'must', 'step', 'take', 'new', 'threat', 'world', 'ha', 'chang', 'forev', 'soni', 'pictur']","['follow', 'event', 'avenger', 'endgame', 'spider', 'man', 'must', 'step', 'take', 'new', 'threat', 'world', 'ha', 'change', 'forever', 'sony', 'picture']"
